title	anidb	anilist	animenewsnetwork	animeplanet	anisearch	annict	imdb	kaize	kaize_id	kitsu	livechart	myanimelist	nautiljon	nautiljon_id	notify	otakotaku	shikimori	shoboi	silveryasha	simkl	themoviedb	trakt	trakt_type	trakt_season
!NVADE SHOW!		142051		raise-a-suilen-nvade-show				nvade-show	19927	47450		51478					51478							
"""0"""	10143	102416		chiaki-kuriyama-0	9010			0	2371	8925		20707			Ff1bpKmmR		20707			48858				
"""1-punkan dake Furete mo Ii yo..."" Share House no Himitsu Rule."		179333			20004	13632						60629					60629	7336	5742					
"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu"	3689	185879		aesop-no-ohanashi-yori-ushi-to-kaeru-yokubatta-inu	1789			aesop-no-ohanashi-yori-ushi-to-kaeru-yokubatta-inu	2734	9179		25627			eM1-pKmiR		25627			41243				
"""Ai"" wo Taberu"				ai-wo-taberu						47627		54496					54496							
"""Anata wo Hitokoto de Arawashite Kudasai"" no Shitsumon ga Nigate da."	17129	143612	25117	anata-wo-hitokoto-de-arawashite-kudasai-no-shitsumon-ga-nigate-da	17000	9271		anata-wo-hitokoto-de-arawashite-kudasai-no-shitsumon-ga-nigate-da	2541	45982	11017	50762	anata+wo+hitokoto+de+arawashite+kudasai+-+no+shitsumon+ga+nigate+da.	10933		2267	50762		3570	1824792		767993	movies	
"""Ayakai Shima"" e Youkoso! Mitaman no Ayakashima Kankou Annai"		169087		ayakai-shima-e-youkoso-mitaman-no-ayakashima-kankou-annai		11925				47667	12190	55754					55754							
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi"	7294	7669	11684	bungaku-shoujo-kyou-no-oyatsu-hatsukoi	5970	10741		bungaku-shoujo-kyou-no-oyatsu-hatsukoi	585	5078	5549	7669	bungaku+shoujo+-+kyou+no+oyatsu+-+hatsukoi	3117	oTdkpKiig		7669			37286				
"""Bungaku Shoujo"" Memoire"	7441	8481		bungaku-shoujo-memoire	6169	10742		bungaku-shoujo-memoire	584	5352	5640	8481	bungaku+shoujo+-+memoire	2854	UBTmtKiiR		8481			40553				
"""Bungaku Shoujo"" Movie"	6959	6408	10815	bungaku-shoujo-movie	5387	3635	tt1546649	bungaku-shoujo-movie	583	4550	4198	6408			UUie5KimR		6408	2201	1750	38239		43457	movies	
"""Calpis"" Hakkou Monogatari"		138257		calpis-hakkou-monogatari	18573			calpis-hakkou-monogatari	3488	41893		38045			NeI-pv0iR		38045							
"""Eiji"""	4317	6076	3397	eiji	6068	12014		eiji	2414	4416		6076			lcAq5Fmig		6076			37438				
"""Eikou Naki Tensai-tachi"" Kara no Monogatari"	12936			eikou-naki-tensai-tachi-kara-no-monogatari	12361	11972		eikou-naki-tensai-tachi-kara-no-monogatari	3492	40654	2696	35025	-eikou+naki+tensai-tachi-+kara+no+monogatari	7188	tZ-DhFmmR		35025			666595				
"""Eiyuu"" Kaitai"	12142	21829	18735	eiyuu-kaitai	11499	5030		eiyuu-kaitai	3532	12654	2200	33363	-eiyuu-+kaitai	5579	cLhmhFiiR		33363			588987				
"""Hataraku"" no 100-nenshi"		140882		hataraku-no-100-nenshi	17481			hataraku-no-100-nenshi	7217	45470		49668					49668							
"""hitman"" bang: I=Fantasy"				hitman-bang-i-equals-fantasy						45635														
"""Hitori de Ikirare Sou"" tte Sore tte Nee, Homete Iru no?"					18676																			
"""Inochi Sketch"" Movie Jabow x Mameshiba Collab CM"				inochi-sketch-x-mameshiba				inochi-sketch-movie-jabow-x-mameshiba-collab-cm		47870		41060					41060							
"""Kinako"" Movie x Mameshiba"				kinako-movie-x-mameshiba				kinako-movie-x-mameshiba		41577		35632					35632							
"""Kiss Dekiru Gyouza"" Movie x Mameshiba"				kiss-dekiru-gyoza-x-mameshiba-movie						41274		37843			ZmJVj6niR		37843							
"""Mahouka Koukou no Rettousei"" Yori Shinnen no Goaisatsu 2025"										49471		60669					60669							
"""Moving in 3D! Usable ♪ Kensaku and Engine"												59601					59601							
"""Omae Gotoki ga Maou ni Kateru to Omouna"" to Yuusha Party wo Tsuihou sareta node, Outo de Kimama ni Kurashitai"	19310	191718		roll-over-and-die-i-will-fight-for-an-ordinary-life-with-my-love-and-cursed-sword	20475						13149	61587	-omae+gotoki+ga+maou+ni+kateru+to+omou+na-+to+yuusha+party+wo+tsuihou+sareta+no+de,+outo+de+kimama+ni+kurashitai	13365			61587			2765276				
"""Parade"" de Satie"	14586	101905		parade-de-satie				parade-de-satie	4719	12943		34595			Kk-ZhKiiR		34595			1190971				
"""Pokemon Shirt Sizing"" Concept Movie"				pokemon-shirt-sizing-concept-movie						48739		58288					58288							
"""R100"" x Mameshiba Original Manners"				r100-x-mameshiba-original-manners	19915			r100-x-mameshiba-original-manners	7220	41829		37626					37626							
"""Star""t"				irodorimidori-star-t	18459					44893		41090					41090							
"""Tokyo"""		113199		tokyo						43145		38748					38748							
"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku"	15157	126275	24145	star-blazers-space-battleship-yamato-2202-movie	15722	7321		uchuu-senkan-yamato-to-iu-jidai-seireki-2202-nen-no-sentaku	4895	44693	10165	40554			UBsE9dKGg		40554			1188043		618957	movies	
#1		151646		number-1				-1	2379	46718		52270					52270							
#Anime Is Energy					18345																			
#Aqua Iro Palette		128539		aqua-minato-aqua-iro-palette				aqua-iro-palette	4811	43787		51481					51481							
#Compass			26686	compass	20034	10779		compass		49830	12648	38603	-compass	8335			38603							
#Compass 2.0: Sentou Setsuri Kaiseki System	17754	158287	26687	compass-20-animation-project	18574	10780		compass-20-sentou-setsuri-kaiseki-system	22381	49825	11696	53762	-compass+2.0+-+sentou+setsuri+kaiseki+system	11643	cmWl5aw4g	2959	53762	7370	5469	2049570		252825	shows	1
#holoEN3DRepeat										47617														
#Ima made de Ichiban Yokatta Sex The Animation		146951			17271							51723					51723							
#Mugen ni Tomaranai		178402																						
'Skool Luv Affair' Comeback Trailer										48679		55928					55928							
'Twas the Night Before Christmas										43395														
(a long day of) Mr. Calpaccio				a-long-day-of-mr-calpaccio				a-long-day-of-mr-calpaccio	3489	41656		36734					36734							
(K)NoW_NAME: Harvest				knowname-harvest																				
(K)NoW_NAME: Knew day				know-name-knew-day																				
(Making of) Evangelion: Another Impact				making-of-evangelion-another-impact																				
(Mi) Liu				stray				mi-liu		47821		52691					52691							
(OO)				oo				oo		46266		51268					51268							
(Title to be Announced)		187479																						
** Kouhai		112936			14740							40658					40658		4499					
*Luna: classroom				luna-classroom																				
